,reviews,stars,dates,countrys
876,"✅ Trip Verified | Inefficient and slow airport operation. Resting on their laurels. Many staff standing around doing very little at Terminal 5, yet not completing their basic tasks - I had to return three times for them to properly do the document check. Fees as bad as Ryanair for any extras. Average, somewhere below easyJet, above Ryanair, for now. Presumably that's what they're aiming for.",5,21st August 2024,(United Kingdom)
877,"Not Verified |  The customer service is one of the worst I have ever seen. They will scheme and give you untruths. We were not allowed on our original flight because of some ""technical"" issue on their end, and had to call the airline because they could not do anything at the counter. $600 additional later, we are booked on the next flight in 12 hours. We paid for services on the original flight and asked for it to be moved, nothing happened. We had to pay for the services all over again. Next the second connecting flight, we sat on the tarmac for over two hours, then we deplaned at midnight without going anywhere! They did not even give us an hotel, we had to spend the night at the airport. They gave us a flight the enxt day, from London to Zurich, but it was three connecting flights with an hour gap each, London - Brussels - Amsterdam - Zurich, absolute nonsense! The first flight itself was delayed, so of course we missed all the other connections, and they would not pick up the phone or help us, nothing. We had zero help from BA and had to spend 10 hours at Brussels ariport sorting out and buying new tickets ourselves. We are out over $2500 at this point, with zero response from BA to reimburse us for their planning. Our final flight to India from Zurich was also delayed, we sat on the tarmac for 2 hours before the flight finally took off. costs!",4,18th August 2024,(United States)
878,"Not Verified | Before my flight, I was forced by the ground staff to check in my new, expensive cabin luggage, despite the fact that it met all size requirements. I was informed that the plane was full and assured by staff that my luggage would be well taken care of. Unfortunately when my bag was returned to me, it was scratched and damaged. This is completely unacceptable, especially given the assurances I received. When I lodged a complaint, it fell on deaf ears, there has been no acknowledgment or resolution from British Airways. The funny thing is that the overhead lockers were empty! This experience has been extremely frustrating and disappointing. The lack of care for both customer property and customer service is glaring.",2,15th August 2024,(United Kingdom)
879,✅ Trip Verified |   British Airways at its best. Outstanding service from the flight attendants. Dinner very good though breakfast could be better. Excellent IFE. The lie flat seat is extremely comfortable. A very pleasant flight on board an A350.,1,12th August 2024,(United Kingdom)
880,"✅ Trip Verified | An excellent flight! Despite this being a 4.5 hour flight in a A320 that is configured for short hops to Edinburgh or Glasgow, and despite there being no IFE, I ended up really enjoying the flight. I don't know if it was just that I had really low expectations, but I thought the crew were fabulous, and the food and wine was surprisingly good. The plane itself looked very new and was in perfect condition. From the very start, I really liked the crew - they were all cheerful, genuine, and clearly enjoying their work. I noticed they constantly had friendly and proactive interactions with passengers, and when the food and drink came around, they were generous with the wine - and happily provided top-ups later in the flight. The food box was deceptively small - it actually contained a decent selection of food, and was more than enough to keep me feeling satisfied on this trip. There were regular, and detailed, updates from the cockpit which I also appreciated. So whilst the hard products on this flight were limited, it was the service - and the genuine enjoyment of the crew - that won me over.",8,12th August 2024,(Lebanon)
881,"✅ Trip Verified | I recently traveled with British Airways and had a mixed experience. Booking and Check-in: The booking process was straightforward, but our experience at the baggage counter was frustrating. While we were in line, the three employees at the counter took a 45-minute break before processing our luggage, which caused unnecessary delays. Flights: The flight to London was fine, and we enjoyed our time in the lounge during our layover, despite the delay. The connecting flight to DFW was also fine. Baggage Issues: Unfortunately, our luggage did not make it onto our flight to DFW. We arrived at DFW on Wednesday, 8/7/24, and as of 8/11/24, we still have not received our luggage. Customer Service: The most disappointing aspect has been the customer service. They have been dismissive, and no one has taken responsibility or provided a timeline for when our bags will be delivered. Overall, while the flights themselves were okay, the baggage handling and customer service has been horrible.",8,11th August 2024,(United States)
882,"✅ Trip Verified |   My family and I were booked to leave London for Hong Kong on 2 August. After having been made to wait at the airport for 3.5 hours, we were told at midnight that our aircraft had bee struck by lightning and our flight was cancelled. Everyone was sent home (we had to scramble to find transportation) and were told to wait for re-routing information. We were booked to travel two days later to HK via the Middle East with an 8-hour stopover. Needless to say we refused this flight. The worst trick by BA is that all our original flight booking references were deleted from their system and we can therefore not apply for compensation of any of our additional transportation, hotel and meal costs.  I cannot find the words to express my anger. Not as much as an apology has been received!",3,9th August 2024,(United Kingdom)
883,"Not Verified |  We had to change from AA to BA for a flight to London because of a missed connection. The flight was OK, but in the process our bags were delayed. We waited for 2 days at our destination, reading regular unhelpful updates from BA about receiving our luggage, and finally had to return to the airport twice to pick them up personally because no one lifted a hand to take them off the carousel. We have now waited 3 months (and counting) for a claim to be processed. This is absolutely the worst experience I've had in 50 years of plane travel. The company has cleverly designed their website and phone tree to deter contact. Their ""Live Chat"" guides you by asking if you want to chat about a booking or something else. In spite of entering ""NO"" to the option about asking about a booking, it takes you there anyway, just like being on a baggage carousel with no one attending or caring. At least I'm not alone, judging from the number of similar complaints about how terribly they treat customers.",1,8th August 2024,(United States)
884,"✅ Trip Verified | After paying $6500 for tickets for my family (including having to pay over $400 just to sit together as we were traveling with kids), they ran out of chicken dinners. My kids are picky and wont eat vegetarian curry. I dont mind the curry, in fact I thought it was pretty good. But at least maybe feed the kids first or check. I don't understand how you can run out when we have to pay so much. The only explanation to me is that the airline is greedy and will try to save a nickel than make everyone happy. I'm just disappointed in British Airways.",2,8th August 2024,(United States)
885,"✅ Trip Verified | An excellent flight on BA CityFlyer. The plane was clean, comfortable and spacious. Crew were friendly, and I was very pleasantly surprised to be offered a choice of complimentary alcoholic beverages on this one hour flight! Departure was on-time, and I appreciated the cockpit keeping us updated (and encouraging us to enjoy the views as we came into land at London City). An easy and enjoyable flight - just as it should be!",2,7th August 2024,(Lebanon)
886,"✅ Trip Verified |   Crew were amazing and attentive, nothing was missed out by them. Will definitely choose BA in the future. Also have to praise the food. The choice was sufficient and delicious for a short business flight",8,7th August 2024,(United Kingdom)
887,"Not Verified |  I flew internationally for the first time in my life and, because of a delay on their end, missed my connecting flight to my destination. When I asked for help ahead of time, I was told to run to the next gate. Needless to say, I missed my flight. There were three British Airways employees at the customer service desk when I was next in line at Heathrow, and two of them went on break despite the ever-growing line (due to multiple people missing their flights with the same airlines under similar circumstances). After 45 additional minutes waiting for assistance, I was given a receipt -not a boarding pass, which caused issues at the next connecting flight from Barcelona to Rome, which was coordinated through British Airways. And this was just on the outbound trip! On the return trip, the British Airways flight ended up landing 15 minutes late and landed while my connecting flight was boarding—downstairs from the exit gate. I was denied entry to my connecting flight because I was 15 minutes past the time when they started to board, because of the delay by British airways. The boarding didn’t close for an hour and didn’t leave for another hour and a half later (according to the notifications on my phone). So, instead of being helped, I was denied entry because I missed the beginning of boarding by 15 minutes due to the connecting flight delay. Again, I waited in the customer service line at Heathrow to reschedule my flight. I already had my boarding pass in hand! I still haven’t made it to my final destination.  I do not recommend Heathrow Airport either. The British Airlines employee came to me when she saw me upset after being denied to board on my return flight, and asked what happened. Her solution to my problem was do not fly British Airways in the future. Thanks a lot, lady. I already figured that out on my own. I was given a £10 meal voucher, bus voucher, and hotel voucher due to the many inconveniences, but I have not flown any airlines ever before in my life where I have had such issues.  Thankfully, I had no checked bags so I cannot speak to that effect.",10,5th August 2024,(United States)
888,"✅ Trip Verified | BA, after subsequent delays and postponed departure times, from the initial 20:35 to 23:00, as passengers had been gathering at the already assigned gate, crew was ready to board and aircraft ready outside, decided to cancel the flight. Reason provided over the intercom: absence of pilots. All passengers were told that no hotels could be booked for them and that everyone was on their own (note this, there’ll be a follow up). Rage mounted amongst us all, but the Brits to whom all can be done without response. Myself and others had all reasons to insist and so we did, till 1 AM. The crew kept saying that no rebooking was possible apart from the automated one (which expected us to cross Europe to get to our destination) and no hotel booking were in their power either. Well: liars. After hours of pushing and raging, one person came with the hotel bookings for roughly those 30 of us who kept on fighting. Liars also for another reason: all but one angel told us there was no way to be rebooked. But one took me apart and suggested me a way, which worked. It meant breaking some of their “rules” but after all they made the mess, so they had to sort it out. With 3 hours of sleep over 24 hours I managed to get back where I had to and I’m 100% committed to now avoid BA as much I shall be able to. Some of the clerks told me it was impossible working for them after all the cuts to save on money, as the company runs in pretty bad financial waters. Hubs such as Heathrow now have almost no presence and passengers have to do all by themselves, from checking in their bags at the bag drops to spending hours on their phones at their expenses when BA messes it up as it frequently does lately. It’s a pity to be seeing such a decay, time to change leadership team and CEO.",1,3rd August 2024,(Italy)
889,"Not Verified |   It is embarrassing to have the word “British” attached to this airline. The service was substandard in every way with the possible exception of food and a couple of stand out staff. I can accept delays and technical problems, they happen. How they handled it was, in my opinion, was not responsible - they left everyone on the plane for 4 hours and at midnight, disembarked saying they had no hotels available and no staff to unload luggage. The plane inevitable had people with young children and elderly. All left to fend for themselves! Several times they mentioned “don’t worry, we have a duty of care” but there really was none. Singapore to London flight was not wifi enabled and they cram 8 business class seats across the width. Comfort and service did not reflect price and was well below leading airlines - avoid it at all cost!",1,2nd August 2024,(Australia)
890,"✅ Trip Verified | Flight cancelled due to bad weather, BA contacted me by email immediately and provided an alternative booking as well as a link if their suggestion for a different flight wasn't convenient. Clicked on the link and was assisted promptly by a service rep who rebooked me and sent all details within a few minutes. Great customer service from BA....well done.",1,2nd August 2024,(United Kingdom)
891,"✅ Trip Verified |  British Airways oversold my LHR to LAX flight; I booked months in advance paid in full and actually paid over $1000 extra to fly their Airbus A380. Tried to check in online day before flight, got unknown system error couldn’t check in. Arrived at LHR 3.5 hours early; none of BA kiosks worked, all manual check in by understaffed BA staff who were all unhelpful. Insane queue times; lots of other frustrated passengers in line. Denied boarding at the gate because flight oversold, no explanations, no apologies, constantly ignored by BA staff who don’t have the patience to listen to your situation or be helpful. Finally gate manager books alternate flight to Paris CDG, supposedly to connect with an Air France flight. We get to CDG only to be told by Air France their flight was full; no idea why BA manager bumped me to AF flight that’s also full! That’s insult to injury to be bumped twice! Went to BA desk at CDG, no help at all they told us to call BA and couldn’t even provide the phone number; just told us to look online. On top of all that my luggage is lost somewhere between BA and AF in Paris CDG. I’m an American citizen and speak perfect English, but I feel completely humiliated and treated like second class citizen by multiple BA staff through the whole ordeal. Mostly they just ignore you or bounce you from one counter to another without even trying to listen to your problem. Zero accountability. Will never ever fly BA again! Absolute worst travel experience of my life.",10,30th July 2024,(United States)
892,"✅ Trip Verified |  I travelled London to Doha on July 16th, I had to physically check in at BA Business T5 because I had an ongoing connection in Doha and the flight was a code share with Qatar. I had paid for my flight through Qatar and paid for the seat online so I could sit where I like to sit and when I got to check in discovered I had been reseated elsewhere in the cabin and was told that was their policy and basically to shut up about it. I then discovered that BA do not recognise Qatar frequent flyer rules despite sharing Avios points. I'm a Gold card holder in Qatar which affords me extra kilos on the baggage but BA tried to tell me I had to pay. After some arguing eventually they accepted it! The Lounge was packed, staff less than helpful when I tried to get some answers on my seat reassignment, I was told I would get my money back - no chance of that so don't even try. The flight boarded by bus, the journey took 15 minutes to get from terminal to aircraft which I am guessing was at another terminal because it took so long to get there. Why not board us through that terminal rather than drag us all over the airport? Finally got onto the plane, BA staff are not friendly, it's no wonder they are ranked 13th, I now realise it's a privilege being allowed to step onto a BA flight and it departed 90+ minutes late. Myself and many other travellers had connections and this meant I was either going to miss the connection or I would manage to make the connection but my luggage wouldn't. Would BA flight crew help me on board to figure out the connection? they eventually came to tell me me in their haughty attitude, ""We are now landing 15 minutes earlier so that give you a full 50 minutes to make your connection"" Landing early does not mean getting to the gate earlier, it usually takes at least 10 minutes from landing to gate, then another 7 for the jetway to be attached and if you are lucky to be sitting near the door straight off, if not 20 minutes to disembark, if you want to be helpful don't say stupid things to people who are frequent travellers! As it turned out I was sitting near the door and had to run off the plane, Qatar were there to assist but I did have to run from the A gates all the way to C gates to make my connection, not a short distance for a 70+ year old and the luggage did not make it. Many others were not as fortunate and didn't make their connections. Why put a page in the flight entertainment for connections if you are not going to provide the information, it's public information you can look it up on line, so the aircraft has access to WiFi and satellite communication so I fail to understand why this information cannot be captured and displayed? I complained to BA got a wishy washy email with a number of excuses in it, no mention of the seat refund. I got a paltry voucher that I'm supposed to use on another BA flight - who are they kidding I am not sure I want to experience that again. However I have recently discovered that of my frequently travelled to destinations is really only serviced by BA if I want to fly at a reasonable hour of the day or go all over Europe just to avoid them which is too expensive. I consider them one of the worst airlines I have ever flown and getting worse by the minute. Fly them only if you absolutely have to and good luck.",1,30th July 2024,(United Kingdom)
893,"✅ Trip Verified |  When dropping off my luggage at the luggage drop off at Toulouse airport, I had my travel pram confiscated from me and I was forced to take my sleeping 2 year old in my arms while traveling alone with him at 5.30am. I was told by the staff outsourced by British Airways to check in passengers that only yoyo prams were accepted on board. I corrected her that it was ""yoyo type"" prams but she contested and told me that only yoyo prams would be allowed and if I insisted to keep my sleeping 2-year-old in his pram I would not be permitted to board the flight to London. This happened to 2 other families and we were forced to go to the oversized baggage area of the airport. To clarify my pram is the Silver Cross Jet stroller pushchair which I specifically purchased as it is conform to the British Airways specifications. I was then required to carry my toddler for 30 mins through security, and then again for another 40 mins while waiting to board the plane (I was ""allowed"" early boarding only to be moved from my seat to stand on the other side of the staff with no more options to sit down). At Heathrow, I was then required to carry my toddler again for approx. 40 mins to go through passport check and luggage claim (as mentioned previously, I was traveling alone with my child with no other support). All this, despite purchasing a very expensive pram to fit to your requirements and coming to the airport prepared with this pram. I'm sure you agree this is unacceptable and it is illegal to force passengers to purchase a specific brand of products in order to be able to keep their child in their travel pram.  In addition to this, once on the plane, I installed my Kids Fly Safe Cares Child Airplane Safety Harness for my son. The cabin crew then proceeded to tell me this was not allowed. I had to go on the website to show them that this was incorrect and I was in fact within my rights. Then, for landing, the crew had the gall to tell me to put the harness on my son and that it was mandatory to which I asked, if it was mandatory why did I bring the harness myself. British Airways is the most discriminatory airline for parents traveling with children and this needs to change. My advice; don't treat a mom traveling alone at 5am with a sleeping toddler like rubbish, and don't confiscate her travel pram that is within regulation forcing her to have the worst travel experience possible.",3,28th July 2024,(United Kingdom)
894,"✅ Trip Verified | If you can’t fly First Class don’t fly British Airways! VERY uncomfortable seats. You can’t even get out of your seat when the person in front has their seat reclined (and who doesn’t need to recline their seat!) You can’t pick up ANYTHING off the floor during the flight because you can’t bend to touch the floor - there isn’t enough space to! If you have long legs don’t think you are going to be comfortable - as soon as the person in front of you puts their chair back your knees WILL be CRUSHED! Terrible food, Terrible plane, Terrible air-hostesses, Terrible flight and unfortunately I have to fly back home with them.",1,19th July 2024,(United States)
895,Not Verified |   Singapore to Heathrow. Business class on an A380-800 is a Premium Economy Plus experience. From the economy class sized toilets to the badly designed coffin shaped Business class pods - the experience is a substandard business class experience. Business class pod’s storage is a small drawer at the FOOT of the pod. The ‘privacy’ screens are opaque plastic sheets - so you are kept awake by your neighbour as their screen lights up your pod. When the seat is made into its coffin shaped bed - the cold hard plastic seat moulds are an unpleasant surprise for those that turn in their sleep. You have a choice of having your neighbour step over your calf-height footrest - hopefully not brushing your feet with theirs - or having to step over your neighbour's feet/footrest. With the footrest down - heaven-forbid you try to lever yourself into a more comfortable position as the slightest pressure causes the footrest to collapse into its floor level position. If you are in the aisle seat - which is open to the aisle - kiss goodbye to any privacy as not only will you be on view to all passengers - the crew will lean you to both serve your neighbour their food and talk to your neighbour over your privacy screen.,1,16th July 2024,(New Zealand)
896,Not Verified |   I reported my damaged/ruined suitcase 5 weeks ago and I'm still awaiting a reply. I'll think twice about booking with BA again as the Customer Service is shocking to say the least. I've followed up with British Airways with at least 3 emails per week requesting an update but with no joy so far.,1,15th July 2024,(United Kingdom)
897,"Not Verified |   On March 1st, I flew from Berlin to São Paulo with BA but encountered several issues. My first flight was delayed by several hours, causing me to miss my connection at London Heathrow. Upon arriving at the airport after midnight, I was given a hotel voucher. However, the hotel designated by BA rudely denied me check-in, claiming it was fully booked. I had to return to Heathrow at 1 AM and found a different hotel, paying for the taxi out of my own pocket. As a result of these complications, I arrived in São Paulo more than 24 hours late. Despite my efforts to assert my rights and seek reimbursement for the taxi, BA's customer service has been extremely poor. Their phone lines are non-functional, emails are only answered automatically, and the appropriate channels for such requests have not been responsive since the first week of March. This experience has left me extremely disappointed, especially considering the high standard of service I once associated with BA.",1,9th July 2024,(Germany)
898,"Not Verified | The WORST customer experience! British Airways (BA) is effectively robbing people! They are not here to help and show no compassion. My partner and I fell ill and had a doctor’s note stating we couldn't fly. BA said they'd hold our flight amount as a voucher valid for a year. Fair enough. Caveat to this (which was not stated to us): you must call them and it is not usable on holiday packages. However, using this voucher was a nightmare. We can't use it for both our tickets because the original was long-haul, and they refuse to refund half the amount. BA's customer service was awful and rude, effectively stealing £400 from us. This policy must stop. We feel held hostage with no solution.",1,5th July 2024,(United Kingdom)
899,"Not Verified |   Had to cancel my flight months in advance due to a change of schedule. I was flying with American Airlines and British Airways. Selected seats and when I attempted to get a refund on the selected seats, AA refunded me with no issue when BA refused despite both companies having similar policies. Avoid them, fly with anyone else. Customer service is a joke, taking over 2 weeks to respond to my email and giving me no further justification than what I was told on the phone.",1,1st July 2024,(Canada)
900,"✅ Trip Verified |   The seats were excellent, with a feel of much more room than the official seat pitch (I am 6ft 1in). We could sleep for a couple of hours (daytime flight), with the blinds down as they should be (no point booking a window seat in my view). I focus on seat quality much more than smiley faces and food (the food was middling, and the second meal, before landing, was distinctly sub-par).",5,28th February 2025,(United Kingdom)
901,"✅ Trip Verified |   After the nightmare of getting through triple security at Nairobi Airport, I was looking forward to a glass of something lovely to unwind on the plane. Fat chance. An hour and a half after takeoff we were finally served a drink and meal together. I keep reading how well BA are now doing, but on both legs of this trip the crew were awful. The club suites are a great improvement but if the staff make no effort, what’s the point? On a positive note we were told my wife’s seat was broken and could not recline. I was going to swop, but at the gate they found her another. Prior to this we received an email within 30 minutes of check in with a healthy portion of Avios already added to our account. Well done customer service.",9,27th February 2025,(United Kingdom)
902,✅ Trip Verified |   Prior to boarding a gate agent seemed to pick on elderly people and asked them to check in relatively small bags. By contrast the same staff member looked the other way to a boisterous group of 20 somethings all of whom had large amounts of luggage. London Gatwick to Marrakech with British Airways was rather disappointing. The flight is just over 3 hours and during this flight passengers in economy were offered a tiny packet of digestive biscuits. No water was offered other than a cabin crew member walking through the aisle with a bottle of mineral water and plastic cups. She claimed she ran out of water and so many passengers did not even get that miserly offering. There was no route map on this A320. The captain made only 2 very brief announcements. When I needed to use the lavatory one cabin crew member rudely drew the curtain as she was sitting behind the lavatories with one of her colleagues – they were loudly talking about their boyfriends and ignored an elderly man who was struggling to open the small door to the lavatory. I shall add that the lavatory was unclean and had water on the floor. One concern was the seemingly casual approach to the safety demonstration. Disembarkation was not well managed either. This route is very competitive and these days one has a lot of choice. I will not use British Airways on this route.,5,21st February 2025,(United Kingdom)
903,"✅ Trip Verified |   I flew from Amsterdam to Las Vegas with a layover in Heathrow in November 2024. The day we were flying the weather wasn't great. Since I was on business I really needed to get to Las Vegas, we anticipated on it and checked early if our flight was still leaving. We would have had ample time to catch an earlier flight to Heathrow or even take the train when we checked. According to google our flight was delayed and we would miss our connection. According to the staff of British airways the flight was not delayed and there was no reason for panic. When we got to the airport there was still nothing wrong with our connection. An hour before we were supposed to leave it was announced that the plane wasn't there yet and we would have a major delay. We called customer service and they told us to just go to London and see from there. We wanted some kind of assurance that we could be placed in a hotel since we would not be making our connecting flight and they refused to give those. In the end we found a direct flight the next day and convinced British airways to book that for us. Even though they wanted to connect us through 3 additional layovers.. This resulted in approximately a 24 hour delay in our trip. On our way back home they lost our luggage at the gate and took approximately 2 hours to find it at a wrong gate. On the way back we tried to check in through the online portal. My colleague was able to check in just fine but I couldn't. I was afraid I was overbooked and contacted customer service 3 times.  When I got to the airport I was overbooked and the ground staff had the nerve to tell me it was my fault for not checking in online. Since we were seated in premium economy I could be moved to regular economy but that does mean someone in economy was bumped off the plane. When we got to London our flight back to Amsterdam was delayed. This was because there were disabled people on board of the plane still and there were not enough wheelchairs to get them off. It took approximately 2 hours before boarding could begin.  When we finally boarded we were told we needed a new pilot because the old pilot had now made too many hours waiting around to still fly us to Amsterdam. Arriving in Amsterdam they had left my luggage in Las Vegas so I needed to wait for another week before that was given back to me. Afterwards I have made a claim as soon as possible for my delays and hotel costs, it's been almost 3 months and they still haven't replied. Every time I contact them they claim they have such a huge backlog that it takes long to process them.",3,18th February 2025,(Netherlands)
904,"✅ Trip Verified | First the good news, the club suites are such a huge improvement over the old business seats I hope I never see one again. The not so good news I’m afraid to say was the flight itself. The food has really gone downhill since my last flight, presumably this is a cost cutting measure. If other airlines can offer a really decent quality meal why can’t an airline of BA’s stature? I’ve always thought that a good crew can make up for all the shortcomings but not this time. The crew member looking after me could not have been more bored and was obviously just going through the motions. They couldn’t even be bothered to say cheerio, and I’m not sure I would have answered if they did. Here’s hoping my return is a more satisfying experience.",1,14th February 2025,(United Kingdom)
905,"✅ Trip Verified |   I have never travelled with British airways before and this is the first time I chose to travel with BA due to the cheapest fare available during this time but I was bit unsure if I can enjoy my travel journey due to mixed reviews. I would like to express my extreme joy and satisfaction travelling with this amazing airline. I haven't seen such a great, efficient and friendly service by the cabin crew. I would like to personally thanks Ellie and Adam who were not only very professional but very kind too. Food served was delicious and the drinks were good too. I can say that I thoroughly enjoyed this flight and do not hesitate to recommend to anyone to try it",4,14th February 2025,(United Kingdom)
906,"✅ Trip Verified | Terrible overall, medium service and the flight was delayed. There was no help at all to reschedule a connecting flight. The customer support was terrible and the request for compensation is still pending after one year.",9,7th February 2025,(Switzerland)
907,"✅ Trip Verified |   London Heathrow to Male In new business class. BA continues to get its mojo back starting with a classy lounge serving innovative, and interesting, quality pre-flight food (beetroot scotch eggs?). Excellent wine (Whispering Angel). Presentation of on-board food has always been a bit hit and miss with BA, but on this occasion it was tasty and OK. Friendly and efficient on board crew. Smile, treat them respectfully, and as equals.  On time flight and early arrival.  Only awarding a 9 because we were bussed from A-C gates, otherwise a really enjoyable experience.",1,1st February 2025,(United Kingdom)
908,Not Verified |  Very good flight following an equally good flight to Rome. Good food (especially on an evening flight) and aircraft early both ways. Just what short haul should be.,9,20th January 2025,(United Kingdom)
909,Not Verified |  An hour's delay due to late arrival of the incoming aircraft. The captain was a particularly able communicator who kept us in touch with the situation. We got freebie upgrades to emergency exit seats from a friendly member of the crew. In the end we were only 30 minutes behind schedule in a relatively comfortable elderly plane. Pretty stress free.,9,19th January 2025,(United Kingdom)
910,"✅ Trip Verified |   I booked through BA because Loganair don’t have representatives in Manchester airport. Loganair cancelled the flight but someone at BA marked the flight as delayed by 52 minutes. I’ve spent over 70 days chasing BA’s complaints department who are at best totally ineffective. They won’t put you through to the people dealing with the claim (apparently they don’t have the facility to do so!), they won’t phone Loganair, they won’t look on Manchester airports historic flight website to confirm the cancellation, they won’t put you through to a supervisor in fact they do very little but apologise for how little they do.",7,15th January 2025,(United Kingdom)
911,"✅ Trip Verified |   British airways lost bags in LHR then found them. Sent to Cologne where it sat for two days before they told me, but no one was there to give it to me. I spent 10 days in Europe without a bag, bought clothes. BA refused to reimburse me. They closed the case 10 days after i returned to the states when my bag showed up at my front door. They wont let you talk to management, they say they email mail you but they don't then you call customer service. they say they will escalate it but you will never know. they don't update the claims or the forms.",1,9th January 2025,(United States)
912,"✅ Trip Verified | The check in process and reward/loyalty program is a mess. I am never able to get points, even when trying it through a partner airline. Unfortunately for work I have to travel with them sometimes.  This time, the flight was delayed.",1,5th January 2025,(Netherlands)
913,"✅ Trip Verified |   We flew in November 2023, but it took this long to seek a satisfactory response from BA, which we ultimately never received. BA refused to re-book my son and me at no cost that day due to lack of Underground service / alternate service. BA forced us to buy new tickets and never admitted that they subjected us to disparate treatment. I will not be flying or recommending BA again.",1,4th January 2025,(United States)
914,"✅ Trip Verified | I left for London from Johannesburg at 21:15 on 22 December 2024. My only issue with that flight was the pillows they gave us were dirty and when my 7 year old dropped some juice and I asked a cabin crew member walking past for some serviettes she told me to go to the bathroom to get some to clean it up. Those issues weren’t pleasant but certainly not a major problem. I was booked on the BA0057 at 21:15 on 31 December 2024 to return to Johannesburg. The flight was delayed to the 1 January 2025 at 12:00pm. I had a connecting flight to Durban and do not live in Johannesburg. Landing in Johannesburg with 3 children at 1 am was not an option for me. BA changed my flight to 2nd January 2025 at 18:25. I requested a sooner date so I could get home sooner. I was given 1 January 2025 at 21:15. I accepted this as this is the original time I opted for and would he most convenient for me as I was doing a connection in Johannesburg to Durban. Unfortunately this flight was delayed till 2nd January at 17:00. I was extremely upset by this as I was absolutely exhausted and had 3 children who were absolutely exhausted. I also suffer from eczema and hay fever and did not have my creams and medication. This caused my eczema to flare up so badly, even my lips were cracked and burning. My allergies were so severe that my eyes were sticking together and I couldn’t stop sneezing. My daughter also has eczema and has had a flare up. The staff had no sympathy or empathy for a mother traveling alone and her children. I was just told that they know it’s an inconvenience and a lady even snapped at me that they trying their best. My children are 4, 7 and 11 and we were all booked on separate seats. Is that even legal let alone ethical? They were refusing to help me and saying they can’t do anything. I approached 3 people, and the third person finally put us together. So they could clearly help me??? My flight from Johannesburg to Durban was originally booked on South African Airways and I paid a lot for this ticket as South African Airways is not a low cost airline. I was given a cheap low cost Airline, CemAir, which I had never even heard of, to replace my SAA flight. I suffer from flight anxiety and this is why I never book low cost airlines with tiny flights. My anxiety went through the roof on the flight! Besides all of this, I am also left with a huge credit card bill as I used up all my pounds on the 1st! I know BA is obliged to compensate me for the inconvenience under EU law but besides the compensation BA staff really needs to show more empathy for their passengers, like me, who had two hours long flight delays two days in a row and was alone with 3 children. I expect my full compensation for all of us as this has been by far the worst experience I have had traveling. All their staff kept saying is “that’s why you will get compensation.” I am now waiting to see if I get compensated as I was promised by all of their ground staff! Legally they have to under EU law, so let’s see if they put up a fight or do what is ethical and legal.",1,3rd January 2025,(South Africa)
915,"✅ Trip Verified |   After an excellent flight on a 777 CPT to LHR the return was not as good. BA have moved the Business Class checkin from one end of the hall to the other at T5 for no apparent reason so a nice long walk to check in. Fast Track security was very slow (15 minutes). The indicator board suggested the South Lounge was ""half full"" but when I went it was uncomfortably full and it is still tatty as not refurbished, so I went to the B Pier lounge instead. Much better except as usual the staff are sort of trying to pack up early and have a bizarre way of refilling the food containers which involves actually removing them to the kitchen (which means they are gone a lot of the time) rather than replenishing them customer side. Very employee-centric behaviour. Time for the flight so down to the transit to take us to the C Gates. Except the transit had decided not to stop any more at the B Gates so we watched five maybe seven transits pass through without stopping. Eventually me and a group of maybe 15 other passengers of mixed ages decided to descend to the walkway and run all the way to the C Gates. We all arrived soaked in sweat - not a nice start to a long business class flight. The A380 is spacious but the seat is outdated now and in urgent need of replacement. IFE was not working and had to be rebooted. The headphone prong was bent so headphones not working. The USB port was not working. Drinks were brought out promptly. Starter (salmon) was delicious - truly excellent. Beef was tough ... I think a bad piece of meat rather than badly cooked. Wines were good. Cheese was average to good. Staff were friendly. Good night's sleep. Breakfast good. The recheck experience at JNB is a huge hassle - there is a giant screen saying ""Domestic recheck"" and a queue but when you get to the front of the queue you are told it is SAFAIR only and not for SAA, BA's local partner. What a hassle. Why aren't we warned or told this ... loads of BA passengers making the same mistake. Overall 5/10. It's the little things that would make this better: fast track actually fast track. Refurbish the South Lounge. Have food replenishment in the passenger area, not the kitchen; make sure the transits stop, even late in the evening; refurbish the A380s; ask Do & Co (who are generally excellent by the way) to monitor meat quality rigorously.",1,1st January 2025,(United Kingdom)
